subject_id,sentence_n,trialtime,event
0,16,25438.7681,pressed key
0,16,25905.8413,pressed key
0,16,26294.6966,pressed key
0,16,26787.8156,pressed key
0,16,27138.0195,pressed key
0,16,27380.0214,pressed key
0,16,28090.6833,pressed key
0,16,28534.6195,pressed key
0,16,28961.6456,pressed key
0,16,29497.3562,pressed key
0,16,29956.7945,pressed key
0,16,30335.1228,pressed key
0,16,30755.7636,pressed key
0,16,31134.092,pressed key
0,16,31461.9735,pressed key
0,16,31703.9753,pressed key
0,16,31945.9771,pressed key
0,16,32187.9789,pressed key
0,16,32429.9808,pressed key
0,16,32671.9826,pressed key
0,16,32913.9842,pressed key
0,16,33239.1516,pressed key
0,16,33819.8729,pressed key
0,16,34120.1103,pressed key
0,16,34362.1116,pressed key
0,16,34604.1128,pressed key
0,16,34846.1141,pressed key
0,16,35088.1153,pressed key
0,16,35330.1166,pressed key
0,16,35572.1179,pressed key
0,16,35906.5639,pressed key
0,17,595.9145,pressed key
0,17,1714.5696,pressed key
0,17,2207.6887,pressed key
0,17,2535.5702,pressed key
0,17,2863.4517,pressed key
0,17,3307.3878,pressed key
0,17,3782.5061,pressed key
0,17,4257.6244,pressed key
0,17,4825.4192,pressed key
0,17,5214.2745,pressed key
0,17,5634.9152,pressed key
0,17,6279.3174,pressed key
0,17,7069.1906,pressed key
0,17,7489.8314,pressed key
0,17,7952.6569,pressed key
0,17,8341.5122,pressed key
0,17,8669.3937,pressed key
0,17,9307.4106,pressed key
0,17,9657.6145,pressed key
0,17,10035.9429,pressed key
0,17,10631.6729,pressed key
0,17,11276.0751,pressed key
0,17,11720.0113,pressed key
0,17,12163.9474,pressed key
0,17,12795.2608,pressed key
0,17,13587.7195,pressed key
0,17,14050.545,pressed key
0,17,14843.0565,pressed key
0,17,15504.5754,pressed key
0,17,15931.6014,pressed key
0,17,16424.7205,pressed key
0,17,16969.9781,pressed key
0,17,17715.1957,pressed key
0,17,18159.1318,pressed key
0,17,18915.7135,pressed key
0,17,19574.146,pressed key
0,17,20249.9554,pressed key
0,17,20934.52,pressed key
0,17,21361.5461,pressed key
0,17,21750.4014,pressed key
0,17,22246.825,pressed key
0,17,22706.3334,pressed key
0,17,23262.4489,pressed key
0,17,23689.475,pressed key
0,17,24078.3303,pressed key
0,17,24541.1559,pressed key
0,17,25225.6983,pressed key
0,17,26022.5353,pressed key
0,17,26580.9254,pressed key
0,17,27790.707,pressed key
0,17,28204.47,pressed key
0,17,28582.7984,pressed key
0,17,29003.4391,pressed key
0,17,29660.9913,pressed key
0,17,30049.8466,pressed key
0,17,30876.0195,pressed key
0,17,31537.4248,pressed key
0,17,31887.6287,pressed key
0,17,32384.0524,pressed key
0,17,32811.0785,pressed key
0,17,33273.904,pressed key
0,18,443.9362,pressed key
0,18,794.1401,pressed key
0,18,1783.7238,pressed key
0,18,2246.5494,pressed key
0,18,2690.4855,pressed key
0,18,3013.929,pressed key
0,18,3402.7843,pressed key
0,18,3895.9034,pressed key
0,18,4917.5344,pressed key
0,18,5380.36,pressed key
0,18,5908.5362,pressed key
0,18,6632.7181,pressed key
0,18,6874.7199,pressed key
0,18,7301.746,pressed key
0,18,7946.3225,pressed key
0,18,8504.7126,pressed key
0,18,8967.5382,pressed key
0,18,9388.1789,pressed key
0,18,9738.3828,pressed key
0,18,10213.5011,pressed key
0,18,10665.976,pressed key
0,18,11093.0021,pressed key
0,18,11555.8276,pressed key
0,18,12101.2157,pressed key
